index,phbox,phprobe,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm
83,1.3,4.53,128.0,827.9,703.0,1022.4,1266.6,1310.5,1428.5,738.8
84,1.4,4.16,139.2,855.1,785.0,1203.4,1444.4,1375.5,1490.3,769.5
85,0.9,6.97,94.0,629.0,571.8,891.9,966.2,832.4,935.9,557.6
86,1.3,3.97,126.0,765.7,692.9,1011.6,1254.4,1279.0,1396.4,720.2
87,1.0,8.13,96.9,710.9,609.9,884.0,938.8,803.9,931.0,573.8
88,1.3,3.80,126.0,826.4,681.9,980.9,1217.9,1279.2,1399.0,724.0
89,1.3,8.51,129.0,932.4,786.4,1111.4,1167.3,1036.3,1207.3,728.2
90,1.2,3.66,122.0,793.7,654.2,934.0,1182.3,1267.5,1392.1,717.4
91,1.3,8.76,127.0,887.9,772.0,1059.6,1123.8,1019.8,1198.6,726.6
92,1.3,3.40,128.9,885.3,684.1,980.9,1225.6,1315.0,1427.3,740.0
93,1.2,8.87,120.7,946.1,728.5,984.7,1022.3,959.5,1115.9,696.8
94,1.3,3.20,126.9,793.8,676.2,953.0,1222.0,1304.0,1432.3,738.5
95,1.2,9.15,123.0,881.8,743.2,998.8,1061.3,1003.2,1182.2,727.0
96,1.2,3.04,122.8,796.1,639.7,911.8,1179.2,1283.3,1405.4,723.5
97,1.2,9.30,119.9,858.7,715.3,961.0,1019.9,968.0,1148.2,711.3
98,1.3,2.84,127.0,801.0,673.7,964.1,1241.4,1318.2,1441.2,743.4
99,1.3,9.56,131.3,951.8,779.0,1040.4,1106.3,1073.5,1243.1,747.4
100,1.2,2.66,121.7,746.2,638.4,910.2,1194.2,1265.1,1383.6,711.0
101,1.2,9.78,118.0,901.7,699.5,909.0,958.5,929.5,1090.1,686.8
102,1.4,2.41,135.1,919.5,709.7,1028.6,1329.7,1397.9,1508.3,777.5
103,1.2,10.07,120.0,944.0,712.2,931.9,987.0,966.9,1136.1,705.6
104,1.2,2.17,125.0,790.1,652.1,942.0,1239.4,1313.7,1423.0,736.2
105,1.3,10.23,128.8,952.2,763.0,995.8,1067.2,1050.1,1236.0,747.8
106,1.2,2.02,120.0,735.2,625.4,903.2,1195.9,1257.0,1362.8,703.8
107,1.2,10.62,120.0,920.9,714.5,925.2,1003.7,965.8,1143.3,710.0
108,1.3,1.87,125.7,838.5,645.0,926.6,1231.2,1296.6,1404.0,722.8
109,1.1,10.96,111.9,857.5,666.9,849.0,914.1,893.5,1063.1,668.7
110,1.0,11.21,101.0,720.0,607.2,772.0,845.0,830.0,1003.2,628.8
111,1.4,4.25,135.1,834.1,776.1,1239.3,1441.5,1335.4,1431.1,747.0
112,1.5,4.87,148.2,943.0,863.9,1382.6,1586.6,1437.8,1548.3,808.3
113,1.3,3.81,131.0,806.6,747.0,1196.8,1408.0,1312.9,1412.3,737.7
114,1.5,5.17,146.9,929.4,851.0,1349.5,1546.4,1389.2,1502.1,784.9
115,1.4,3.79,136.0,884.0,775.7,1201.7,1423.1,1367.0,1467.1,760.0
116,1.4,5.41,139.0,892.0,808.8,1283.6,1476.2,1327.0,1438.6,757.8
117,0.9,3.76,93.1,602.0,507.9,743.9,921.5,960.1,1039.2,548.0
118,1.3,5.71,133.9,887.5,787.9,1261.4,1420.7,1269.5,1378.6,742.6
119,1.3,3.65,129.0,819.8,689.0,978.0,1231.0,1327.9,1444.8,744.9
120,1.4,5.89,141.8,908.9,829.0,1326.3,1499.8,1335.4,1451.7,778.4
121,1.3,3.49,126.9,812.3,665.5,942.1,1210.5,1346.9,1471.1,755.5
122,1.4,5.93,137.3,906.1,809.0,1292.5,1456.1,1297.6,1410.4,761.2
123,1.3,3.22,129.0,848.3,679.2,960.6,1225.7,1331.6,1456.6,747.6
124,1.3,6.18,133.3,885.1,795.4,1253.2,1389.3,1227.8,1341.3,740.2
125,1.3,2.97,131.3,862.4,693.5,991.2,1261.1,1360.3,1485.1,760.8
126,1.4,6.35,136.4,909.5,817.9,1266.5,1404.0,1237.8,1352.3,745.9
127,1.3,2.71,126.9,827.1,668.3,952.5,1227.1,1312.7,1434.8,736.6
128,1.3,7.22,134.8,881.5,811.7,1256.6,1369.0,1173.4,1317.4,753.9
129,1.3,2.22,129.0,845.8,672.0,969.9,1266.0,1353.9,1467.2,755.1
130,1.4,7.20,139.0,903.5,831.1,1302.8,1409.6,1211.8,1351.2,776.6
131,1.2,1.96,125.0,851.2,662.5,965.7,1246.0,1297.4,1398.5,724.2
132,1.3,6.70,134.0,852.4,798.7,1260.2,1399.1,1217.2,1351.3,753.9
133,1.3,7.20,134.3,903.0,801.9,1239.8,1346.8,1170.2,1293.9,732.9
134,1.2,3.66,123.1,798.0,645.1,921.2,1175.0,1306.4,1435.9,738.0
135,1.3,7.44,131.1,862.9,794.6,1230.3,1331.0,1132.9,1281.2,744.4
136,1.3,3.91,127.1,812.6,685.0,979.3,1231.0,1303.7,1423.2,733.1
137,1.4,8.07,139.0,909.2,835.5,1307.8,1424.3,1225.8,1368.0,779.0
138,1.3,4.00,132.0,866.1,707.0,1012.8,1274.4,1358.0,1490.3,762.2
139,0.9,4.11,95.0,620.0,513.4,745.0,921.0,968.7,1046.1,553.0
140,1.4,8.27,142.1,1013.9,864.1,1297.4,1349.4,1146.8,1301.1,776.6
141,1.3,4.27,129.9,831.0,694.8,1016.2,1273.0,1358.9,1475.3,761.7
142,1.3,8.43,131.0,911.4,795.8,1175.0,1228.8,1051.2,1194.1,715.4
143,1.3,4.51,131.1,872.4,718.2,1070.4,1315.0,1342.7,1459.8,751.0
144,1.3,8.54,135.0,973.9,830.9,1231.5,1277.1,1089.8,1253.1,757.7
145,1.3,5.02,128.9,781.0,728.4,1139.6,1373.4,1320.5,1427.4,739.6
146,1.3,8.74,125.6,881.3,773.6,1116.1,1157.5,991.3,1160.0,717.0
147,1.3,5.68,126.6,815.6,735.7,1178.9,1367.8,1265.7,1360.8,714.9
148,1.3,8.92,130.3,929.1,793.2,1115.0,1177.9,1037.2,1196.3,711.0
149,1.3,6.25,133.0,842.5,782.8,1248.7,1421.1,1275.5,1387.1,746.3
150,1.2,9.14,122.0,873.1,741.8,1037.8,1083.2,979.9,1134.1,695.0
151,1.3,9.06,131.5,949.9,811.9,1195.3,1242.8,1051.0,1217.1,743.9
152,1.2,9.43,120.8,861.4,722.6,975.3,1026.0,960.8,1122.1,694.0
153,1.1,7.25,114.0,817.2,707.2,1033.9,1058.5,906.6,1056.4,676.9
154,1.2,9.63,125.0,919.2,745.8,989.9,1044.1,996.2,1175.8,720.1
155,1.2,6.37,123.0,802.5,725.0,1180.1,1338.8,1202.0,1312.0,715.5
156,1.3,9.78,127.4,948.8,763.6,1002.9,1064.1,1025.0,1216.6,748.0
157,1.3,4.98,126.0,764.1,707.0,1110.0,1346.3,1317.9,1421.3,739.0
158,1.2,9.98,116.0,838.8,682.0,885.9,954.9,912.2,1083.9,683.2
159,1.3,4.76,128.0,803.4,704.6,1083.5,1340.2,1353.6,1472.5,757.0
160,1.2,10.22,122.0,923.0,725.4,945.3,1004.5,983.0,1165.7,722.0
161,1.2,4.39,120.0,768.7,649.7,958.9,1194.1,1268.9,1379.0,715.1
162,1.2,10.53,118.7,885.7,701.9,917.1,981.8,957.0,1127.5,696.0
163,1.1,10.85,109.0,799.2,639.1,829.6,899.2,877.1,1059.2,682.1

